Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
Corel Image Features,Multivariate,Other/Unknown,Real,68040,89.0,1999.0,Extra Large,
EEG Database,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer, Real",122,4.0,1999.0,Medium,Life
El Nino,Spatio-temporal,Other/Unknown,"Integer, Real",178080,12.0,1999.0,Extra Large,Physical
Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender Systems,Categorical,50672,,2000.0,Extra Large,
CMU Face Images,Image,Classification,Integer,640,,1999.0,Medium,
Insurance Company Benchmark (COIL 2000),Multivariate,Regression,"Categorical, Integer",9000,86.0,2000.0,Large,Social
Internet Usage Data,Multivariate,Other/Unknown,"Categorical, Integer",10104,72.0,1999.0,Extra Large,Computer
IPUMS Census Database,Multivariate,Other/Unknown,"Categorical, Integer",256932,61.0,1999.0,Extra Large,Social
Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12.0,,Medium,
KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481.0,1998.0,Extra Large,
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42.0,1999.0,Extra Large,Computer
Movie,"Multivariate, Relational",Other/Unknown,,10000,,1999.0,Large,
MSNBC.com Anonymous Web Data,Sequential,Other/Unknown,Categorical,989818,,,Extra Large,Computer
NSF Research Award Abstracts 1990-2003,Text,Other/Unknown,,129000,,2003.0,Extra Large,
Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",Other/Unknown,,100000,,1999.0,Extra Large,
Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5.0,1997.0,Extra Large,
Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90.0,1999.0,Medium,Physical
Synthetic Control Chart Time Series,Time-Series,Clustering,Real,600,,1999.0,Medium,
Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5.0,1998.0,Medium,Computer
Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14.0,,Medium,Financial
Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20.0,1994.0,Medium,Financial
Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13.0,,Medium,Life
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36.0,1993.0,Large,Physical
Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19.0,1990.0,Large,
Statlog (Shuttle),Multivariate,Classification,Integer,58000,9.0,,Extra Large,Physical
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18.0,,Medium,
Connectionist Bench (Nettalk Corpus),Multivariate,Other/Unknown,Categorical,20008,4.0,,Extra Large,
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60.0,,Medium,Physical
Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10.0,,Medium,
Cloud,Multivariate,Other/Unknown,Real,1024,10.0,1989.0,Large,Physical
CalIt2 Building People Counts,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",10080,4.0,2006.0,Extra Large,
Dodgers Loop Sensor,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",50400,3.0,2006.0,Extra Large,
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11.0,2007.0,Extra Large,Game
MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11.0,2007.0,Extra Large,Physical
UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007.0,Large,Computer
Mammographic Mass,Multivariate,Classification,Integer,961,6.0,2007.0,Medium,Life
Forest Fires,Multivariate,Regression,Real,517,13.0,2008.0,Medium,Physical
Reuters Transcribed Subset,Text,Classification,,200,,2008.0,Medium,Business
Bag of Words,Text,Clustering,Integer,8000000,100000.0,2008.0,Extra Large,
Concrete Compressive Strength,Multivariate,Regression,Real,1030,9.0,2007.0,Large,Physical
Hill-Valley,Sequential,Classification,Real,606,101.0,2008.0,Medium,
Arcene,Multivariate,Classification,Real,900,10000.0,2008.0,Medium,Life
Dexter,Multivariate,Classification,Integer,2600,20000.0,2008.0,Large,
Dorothea,Multivariate,Classification,Integer,1950,100000.0,2008.0,Large,Life
Gisette,Multivariate,Classification,Integer,13500,5000.0,2008.0,Extra Large,Computer
Madelon,Multivariate,Classification,Real,4400,500.0,2008.0,Large,
Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73.0,2008.0,Large,Physical
Abscisic Acid Signaling Network,Multivariate,Causal Discovery,Integer,300,43.0,2008.0,Medium,Life
Parkinsons,Multivariate,Classification,Real,197,23.0,2008.0,Medium,Life
Character Trajectories,Time-Series,Clustering,Real,2858,3.0,2008.0,Large,Computer
Blood Transfusion Service Center,Multivariate,Classification,Real,748,5.0,2008.0,Medium,Business
UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640,,2009.0,Extra Large,Computer
Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256.0,2008.0,Large,Computer
SECOM,Multivariate,Causal Discovery,Real,1567,591.0,2008.0,Large,Computer
Plants,Multivariate,Clustering,Categorical,22632,70.0,2008.0,Extra Large,Life
Libras Movement,"Multivariate, Sequential",Clustering,Real,360,91.0,2009.0,Medium,
Concrete Slump Test,Multivariate,Regression,Real,103,10.0,2009.0,Medium,Computer
Communities and Crime,Multivariate,Regression,Real,1994,128.0,2009.0,Large,Social
Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6.0,2009.0,Medium,Life
Wine Quality,Multivariate,Regression,Real,4898,12.0,2009.0,Large,Business
URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961.0,2009.0,Extra Large,Computer
p53 Mutants,Multivariate,Classification,Real,16772,5409.0,2010.0,Extra Large,Life
Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26.0,2009.0,Large,Life
Demospongiae,Multivariate,Classification,Integer,503,,2010.0,Medium,Life
Opinosis Opinion ⁄ Review,Text,Other/Unknown,,51,,2010.0,Small,Computer
Breast Tissue,Multivariate,Classification,Real,106,10.0,2010.0,Medium,Life
Cardiotocography,Multivariate,Classification,Real,2126,23.0,2010.0,Large,Life
Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24.0,2010.0,Large,Computer
Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13.0,2010.0,Large,
Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8.0,2010.0,Extra Large,Life
Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27.0,2010.0,Large,Physical
MiniBooNE particle identification,Multivariate,Classification,Real,130065,50.0,2010.0,Extra Large,Physical
YearPredictionMSD,Multivariate,Regression,Real,515345,90.0,2011.0,Extra Large,
PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672.0,2011.0,Medium,Computer
Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386.0,2011.0,Extra Large,Computer
Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,,2011.0,Large,Computer
Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12.0,2011.0,Extra Large,
Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147.0,2011.0,Large,Social
Vertebral Column,Multivariate,Classification,Real,310,6.0,2011.0,Medium,
EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8.0,2011.0,Large,Physical
Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27.0,2011.0,Large,Physical
Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000.0,2011.0,Large,Physical
Amazon Access Samples,"Time-Series, Domain-Theory",Clustering,,30000,20000.0,2011.0,Extra Large,Business
Reuter_50_50,"Multivariate, Text, Domain-Theory",Clustering,Real,2500,10000.0,2011.0,Large,Computer
Farm Ads,Text,Classification,,4143,54877.0,2011.0,Large,Business
DBWorld e-mails,Text,Classification,,64,4702.0,2011.0,Small,Computer
KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text",Clustering,"Integer, Real",53414,24.0,2011.0,Extra Large,Life
KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text",Clustering,"Integer, Real",65554,29.0,2011.0,Extra Large,Life
Bank Marketing,Multivariate,Classification,Real,45211,17.0,2012.0,Extra Large,Business
YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3.0,2012.0,Extra Large,Computer
Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128.0,2012.0,Extra Large,Computer
ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10.0,2012.0,Medium,Life
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242.0,2012.0,Large,Computer
Nomao,Univariate,Classification,Real,34465,120.0,2012.0,Extra Large,Computer
SMS Spam Collection,"Multivariate, Text, Domain-Theory",Clustering,Real,5574,,2012.0,Large,Computer
Skin Segmentation,Univariate,Classification,Real,245057,4.0,2012.0,Extra Large,Computer
Planning Relax,Univariate,Classification,Real,182,13.0,2012.0,Medium,Computer
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52.0,2012.0,Extra Large,Computer
Restaurant & consumer data,Multivariate,Other/Unknown,,138,47.0,2012.0,Medium,
CNAE-9,"Multivariate, Text",Classification,Integer,1080,857.0,2012.0,Large,Business
Individual household electric power consumption,"Multivariate, Time-Series",Clustering,Real,2075259,9.0,2012.0,Extra Large,Physical
seeds,Multivariate,Clustering,Real,210,7.0,2012.0,Medium,Life
Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200.0,2012.0,Medium,Computer
QtyT40I10D100K,Sequential,Other/Unknown,Integer,3960456,4.0,2012.0,Extra Large,
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series",Clustering,,10299,561.0,2012.0,Extra Large,Computer
One-hundred plant species leaves data set,,Classification,Real,1600,64.0,2012.0,Large,Life
Energy efficiency,Multivariate,Regression,"Integer, Real",768,8.0,2012.0,Medium,Computer
Yacht Hydrodynamics,Multivariate,Regression,Real,308,7.0,2013.0,Medium,Physical
Fertility,Multivariate,Regression,Real,100,10.0,2013.0,Small,Life
Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9.0,2013.0,Medium,Life
"3D Road Network (North Jutland, Denmark)","Sequential, Text",Clustering,Real,434874,4.0,2013.0,Extra Large,Computer
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series",Regression,Real,536,8.0,2013.0,Medium,Business
Buzz in social media,"Time-Series, Multivariate",Regression,"Integer, Real",140000,77.0,2013.0,Extra Large,
First-order theorem proving,Multivariate,Classification,Real,6118,51.0,2013.0,Large,Computer
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18.0,2013.0,Extra Large,Computer
Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000.0,2013.0,Extra Large,Computer
Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18.0,2013.0,Medium,Physical
MicroMass,Multivariate,Classification,Real,931,1300.0,2013.0,Medium,Life
QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41.0,2013.0,Large,
BLOGGER,Multivariate,Classification,,100,6.0,2013.0,Small,Computer
Daily and Sports Activities,"Multivariate, Time-Series",Clustering,Real,9120,5625.0,2013.0,Large,Computer
User Knowledge Modeling,Multivariate,Clustering,Integer,403,5.0,2013.0,Medium,Computer
"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,111740,,2013.0,Extra Large,Life
NYSK,"Multivariate, Sequential, Text",Clustering,,10421,7.0,2013.0,Extra Large,Social
Turkiye Student Evaluation,Multivariate,Clustering,,5820,33.0,2013.0,Large,
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5.0,2013.0,Medium,Computer
EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15.0,2013.0,Extra Large,Life
Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730,9.0,2013.0,Extra Large,Life
seismic-bumps,Multivariate,Classification,Real,2584,19.0,2013.0,Large,
banknote authentication,Multivariate,Classification,Real,1372,5.0,2013.0,Large,Computer
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory,Classification,Integer,306,5.0,2013.0,Medium,
YouTube Multiview Video Games Dataset,"Multivariate, Text",Clustering,"Integer, Real",120000,1000000.0,2013.0,Extra Large,Computer
