Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
TUANDROMD ( Tezpur University Android Malware Dataset),Multivariate,Classification,Integer,4465,241.0,2021.0,Large,Computer
Higher Education Students Performance Evaluation Dataset,Multivariate,Classification,Integer,145,33.0,2021.0,Medium,Social
Risk Factor prediction of Chronic Kidney Disease,Multivariate,Regression,Real,202,29.0,2021.0,Medium,Life
Lab Test,Multivariate,Clustering,,221,7.0,2021.0,Medium,Life
Shoulder Implant Manufacture Classification,Multivariate,Classification,,597,1.0,2020.0,Medium,Life
Rocket League Skillshots Data Set,"Multivariate, Time-Series",Classification,Real,298,,2020.0,Medium,Game
Sepsis survival minimal clinical records,Multivariate,Classification,Integer,110341,4.0,2020.0,Extra Large,Life
Water Quality Prediction,Multivariate,Regression,Real,705,11.0,2020.0,Medium,Computer
Traffic Flow Forecasting,Multivariate,Regression,Real,2101,47.0,2020.0,Large,Computer
sentiment analysis in Saudi Arabia about distance education during Covid-19,Text,Classification,Integer,1765,10.0,2020.0,Large,
Kain Tradisional Sambas,Multivariate,Clustering,,150,3.0,2020.0,Medium,Computer
Image Recognition Task Execution Times in Mobile Edge Computing,"Univariate, Sequential, Time-Series",Regression,Real,4000,2.0,2020.0,Large,Computer
REWEMA,Multivariate,Classification,Integer,6272,632.0,2020.0,Large,Computer
REJAFADA,Multivariate,Classification,Integer,1996,6826.0,2020.0,Large,
Steel Industry Energy Consumption Dataset,Multivariate,Regression,Integer,35040,11.0,2020.0,Extra Large,Computer
Influenza outbreak event prediction via Twitter data,Multivariate,Classification,"Integer, Real",75840,525.0,2020.0,Extra Large,Life
Turkish Music Emotion Dataset,Multivariate,Classification,"Integer, Real",400,50.0,2020.0,Medium,Computer
Maternal Health Risk Data Set,,Classification,,1014,7.0,2020.0,Large,Life
Room Occupancy Estimation,"Multivariate, Time-Series",Classification,Real,10129,16.0,2021.0,Extra Large,Computer
Image Recognition Task Execution Times in Mobile Edge Computing,Univariate,Regression,Real,4000,2.0,2021.0,Large,Computer
